sentimen,tweet_bersih
negatif,prabowo indonesia tidak dihargai bangsa asing berita hoax buatan penguasa ya rockygerung ?
netral,batuan langka hadiah habib luthfi seharga mercy ?
netral,era indonesia baik indonesiamaju jokowilagi
positif,sumatera selatan asian games berdampak percaya langsung diprediksi mencapai triliun indonesia maju hebat
negatif,negara ngutang bingung infrastruktur dipakai masyarakat terus masyarakatnya ngeluh negara ngutang negara ngutang utang dibayar kalo negara penghasilan penghasilan negara ya pajak
netral,bikin memikirkan perputaran duit golongan sport sekian penentu pertumbuhan perekonomian indonesia bukan fundamental prabowo dgn bahasa sederhana aspek fundamental
positif,tenang msih mengoceh ajattp harga mati
positif,uasdifitnahkejibalasditps kerjasama bilateral multilateral doakan tps dengarkan suara hati uasdifitnahkejibalasditps
netral,iya mantap pilihan pemimpin solusi bukan menyalahkan pemimpin yudhoyono dimas mas bowo koalisi menghantam tmn koalisi plg pilih pemimpin rajin ibadah wajib mengaji jumatan
negatif,prabowosandi sepakat ambil gaji negara susah aceh
positif,pilih pemimpin udh pencapaiannya pencapaian pemerintahan coblos yuk kerja
positif,calon presiden program kartu pra kerja insentif kurun bukan gaji cumacuma masyarakat belum berpenghasilan jokowikyaimaruf
negatif,lu yunartowijaya sih atabdillahtoha mengaca mengajari sandi dibanding
positif,pemerintah berupaya menjaga keseimbangan harga posisi normal petani produsen senang hasil kerjanya dihargai layak jokowikyaimaruf rakyatinginjokowimenang
netral,berat nge bahas dgn angka bahas mobil lejen
netral,mantul pakmengisi tenang umroh kel tercinta istri anak keluarga asset plg berharga sehat pakde
positif,sisi industri kreatif inovatif era industri global tergerak mengubah badan kreatif berat kementerian coblos yuk kerja
positif,pakta integritas prabowo sandi ulama terlibat ijtima ulama pancasila nkri harga mati tidak khilafah khilafah berjualan makhluk kolam uasdifitnahkejidanbrutal uasdifitnahkejibalasditps
netral,dengar mbak videonya beli listrik purbasari harga ribu beli listrik yq ribu
positif,prabowo tni puluhan ambil gajinya rupiah sandi wagub susah ya cari orang ? ? ambil gaji hasil kerja negara
